"NUMBER","FWI","ISI","number_of_fire","Period","IA_Size","BH_Size","Status","Gap_BHIA","Fuel_type","Detection","Response_time","Month","Method","Gap_UCIA","Ex_Size","Gap","Growth","logIA_Size","logResp_time","sqlogIA_Size","sqlogResp_time","sqFWI","sqISI","logNumber_of_fire"
"E01005-1996",13,5,1,"AM",0.07,0.8,1,9.43333333333333,"Other","LKT",0.233333333333333,"5","Air",9.43333333333333,1.6,0.73,0,-2.59026716544583,-1.43408502495624,6.70948398838676,2.05659985880374,169,25,0
"E01006-1997",12,4,3,"PM",2,2,1,2.61666666666667,"C1","LKT",1.6,"7","Air Tanker",13.65,2,0,1,0.695644060758532,0.473123756581979,0.483920659268621,0.223846089042244,144,16,1.09861228866811
"E01006-1998",20,8,7,"AM",30,65,1,23.5666666666667,"C2","LKT",0.616666666666667,"5","Air Tanker",48.1666666666667,65,35,0,3.40136403444148,-0.475351235572331,11.569277294792,0.225958797160142,400,64,1.94591014905531
"E01007-1998",20,8,7,"AM",1.5,2,1,0.716666666666667,"C2","LKT",0.516666666666667,"5","Other ground",4.43333333333333,2,0.5,0,0.408792898200839,-0.650726464675993,0.167111633619442,0.423444931829716,400,64,1.94591014905531
"E01007-2000",13,10,2,"PM",0.2,0.3,1,0.5,"C2","AIR",0.583333333333333,"5","Air",11.6166666666667,0.1,0.1,0,-1.58474529984373,-0.53046159828285,2.51141766537679,0.281389507252795,169,100,0.693147180559945
"E01008-2000",16,6,17,"PM",0.2,0.2,1,1.28333333333333,"C2","AIR",0.05,"6","Air",1.98333333336645,0.2,0,1,-1.58474529984373,-2.90042209374967,2.51141766537679,8.4124483219112,256,36,2.83321334405622
"E01009-2000",11,4,17,"PM",0.03,0.03,1,0.83333333330022,"C2","LKT",0.383333333366447,"6","Air",1.83333333330022,0.03,0,1,-3.35240721749272,-0.945891201565174,11.2386341518973,0.89471016519841,121,16,2.83321334405622
"E01010-2000",17,6,17,"PM",0.1,0.1,1,0.25,"Other","LKT",0.583333333333333,"6","Air",0.41666666669978,0.1,0,1,-2.25379492882461,-0.53046159828285,5.07959158119555,0.281389507252795,289,36,2.83321334405622
"E01011-1998",25,9,17,"AM",1.5,1.5,1,0.566666666666667,"Other","LKT",14.85,"5","Air",0.566666666666667,1.5,0,1,0.408792898200839,2.69833650891457,0.167111633619442,7.28101991534127,625,81,2.83321334405622
"E01011-2000",17,7,17,"PM",0.2,0.2,1,1.5,"C2","AIR",0.0833333333333333,"6","Air",2,0.2,0,1,-1.58474529984373,-2.42663774166402,2.51141766537679,5.88857072926828,289,49,2.83321334405622
"E01012-1997",8,3,13,"PM",0.01,0.01,1,0.0166666666666667,"C2","LKT",0.933333333333333,"7","Air",0.483333333333333,0.01,0,1,-4.19970507787993,-0.063650027076456,17.6375227411704,0.00405132594683358,64,9,2.56494935746154
"E01012-1999",26,12,20,"AM",10,295,1,75.5166666666667,"C2","LKT",0.316666666633553,"5","Other ground",99.3833333333333,295,285,0,2.3030849680357,-1.13423946641421,5.30420036999199,1.28649916717158,676,144,2.99573227355399
"E01012-2000",9,4,17,"PM",0.1,0.1,1,0.166666666666667,"C2","LKT",1.08333333333333,"6","Other ground",0.333333333333333,0.1,0,1,-2.25379492882461,0.0846474740602845,5.07959158119555,0.00716519486478654,81,16,2.83321334405622
"E01013-1996",9,4,2,"PM",0.2,0.2,1,1.31666666669978,"C2","UNP",0.533333333333333,"6","Air",1.71666666666667,0.2,0,1,-1.58474529984373,-0.61927733199349,2.51141766537679,0.383504413920975,81,16,0.693147180559945
"E01013-1997",7,4,13,"PM",0.1,0.1,1,-0.516666666633553,"Other","LKT",0.8,"7","Air",-0.35,0.1,0,1,-2.25379492882461,-0.216913001563574,5.07959158119555,0.0470512502473189,49,16,2.56494935746154
"E01013-1999",25,12,20,"PM",0.2,0.3,1,2.65,"C2","LKT",0.533333333333333,"5","Other ground",16.4333333333333,0.3,0.1,0,-1.58474529984373,-0.61927733199349,2.51141766537679,0.383504413920975,625,144,2.99573227355399
"E01014-1996",7,2,2,"PM",0.1,0.1,1,2.69999999996689,"Other","UNP",1.13333333336645,"6","Air",2.69999999996689,0.1,0,1,-2.25379492882461,0.129565204383733,5.07959158119555,0.0167871421869986,49,4,0.693147180559945
"E01015-1998",18,7,6,"AM",0.7,0.7,1,-16.6666666666667,"C2","LKT",19.8833333333333,"5","Air",0.183333333333333,0.7,0,1,-0.349557476169868,2.99013329515351,0.122190429146248,8.94089712278558,324,49,1.79175946922805
"E01017-1998",9,3,17,"PM",0.1,1.3,1,0.316666666666667,"C2","UNP",0.666666666666667,"5","Air Tanker",0.333333333333333,1.3,1.2,0,-2.25379492882461,-0.397993093269463,5.07959158119555,0.158398502290196,81,9,2.83321334405622
"E01017-1999",26,12,20,"PM",0.1,0.1,1,5.36666666666667,"C2","AIR",1.11666666666667,"5","Air Tanker",16,0.1,0,1,-2.25379492882461,0.114815674428581,5.07959158119555,0.01318263909449,676,144,2.99573227355399
"E01018-1999",22,10,20,"PM",1,1,1,0.5,"C2","AIR",0.416666666666667,"5","Air",14,1,0,1,0.00498754151103897,-0.863540166488626,2.48755703243369e-05,0.745701619139204,484,100,2.99573227355399
"E01019-1996",0,0,1,"PM",0.02,0.02,1,-0.783333333333333,"C2","UNP",1.3,"6","Air",-0.55,0.02,0,1,-3.68887945411394,0.266203040774657,13.6078316269839,0.0708640589176735,0,0,0
"E01019-1997",13,7,13,"PM",0.1,0.1,1,0.85,"C2","AIR",0.65,"7","Air",1.18333333333333,0.1,0,1,-2.25379492882461,-0.423120043346885,5.07959158119555,0.17903057108187,169,49,2.56494935746154
"E01019-1999",24,11,20,"PM",0.5,2,1,17.85,"C2","AIR",0.8,"5","Air",17.85,2,1.5,0,-0.683196849706777,-0.216913001563574,0.466757935449265,0.0470512502473189,576,121,2.99573227355399
